"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"KCTD12","ENSG00000178695","1.48","0.36741052631578947","2.894353369763206","78.45","47.3","26.45","16.39"
"PGK1","ENSG00000102144","1.48","0.36741052631578947","1.2053383944435472","297.49","42.31","246.64","16.08"
"PKP4","ENSG00000144283","1.48","0.36741052631578947","1.2468914241763875","96.27","15.48","77.01","4.44"
"RNF7","ENSG00000114125","1.48","0.36741052631578947","1.2151048492791612","73.17","10.02","60.04","6.39"
"SIPA1L1","ENSG00000197555","1.48","0.36741052631578947","1.2195619896065328","64.71","8.77","52.88","5.34"
"SLC34A1","ENSG00000131183","1.48","0.36741052631578947","1.0865384615384615","0.13","0.07","0.04","0.04"
"SLC39A7","ENSG00000112473","1.48","0.36741052631578947","1.274576860653837","218.89","38.83","171.52","11.97"
"SNX18P23","ENSG00000250016","1.48","0.36741052631578947","1.03","0.03","0.02","0","0.01"
"SPOCK1","ENSG00000152377","1.48","0.36741052631578947","5.058207217694995","42.45","36.19","7.59","2.29"
"TMEFF2","ENSG00000144339","1.48","0.36741052631578947","1.7089871611982883","10.98","4.28","6.01","1.34"
"AC010422.2","ENSG00000268945","1.47","0.36967849252761525","1.1130434782608696","0.28","0.09","0.15","0.07"
"AKAP12","ENSG00000131016","1.47","0.36741052631578947","1.9385678633134957","301.94","143.3","155.27","30"
"BHLHE40","ENSG00000134107","1.47","0.3736681265206813","2.3864541832669324","10.98","5.74","4.02","2.04"
"EIF1","ENSG00000173812","1.47","0.37734054054054056","1.1631122568549332","445.67","47.97","383.03","35.92"
"ITGB3","ENSG00000259207","1.47","0.36741052631578947","1.3362068965517242","0.55","0.34","0.16","0.05"
"LATS2","ENSG00000150457","1.47","0.36741052631578947","1.4791961505802433","51.26","15.52","34.33","6.3"
"LINC01186","ENSG00000236751","1.47","0.36741052631578947","1.2393162393162394","0.45","0.25","0.17","0.09"
"LYN","ENSG00000254087","1.47","0.36741052631578947","1.5510416666666669","13.89","4.85","8.6","2.41"
"MAP2K1","ENSG00000169032","1.47","0.36741052631578947","1.1390076988879385","52.26","5.32","45.76","2.78"
"SLC39A1","ENSG00000143570","1.47","0.36741052631578947","1.2469860896445133","160.36","23.92","128.4","11.94"
"TIPARP","ENSG00000163659","1.47","0.3676720284697509","1.3512820512820514","14.81","3.31","10.7","2.04"
"VPREB3","ENSG00000128218","1.47","0.36741052631578947","1.0857142857142859","0.14","0.07","0.05","0.05"
"AC138932.3","ENSG00000258354","1.46","0.36741052631578947","1.03","0.03","0.03","0","0"
"ADORA2B","ENSG00000170425","1.46","0.3676720284697509","1.2408026755852841","2.71","0.58","1.99","0.37"
"AL008726.1","ENSG00000271984","1.46","0.36741052631578947","1.4173228346456692","0.8","0.49","0.27","0.11"
"AP1M2","ENSG00000129354","1.46","0.36741052631578947","2.566666666666667","2.08","2.1","0.2","0.16"
"ASGR2","ENSG00000161944","1.46","0.36741052631578947","1.2661290322580645","0.57","0.27","0.24","0.11"
"C3orf80","ENSG00000180044","1.46","0.36741052631578947","1.3354430379746838","1.11","0.43","0.58","0.09"
"CALU","ENSG00000128595","1.46","0.36741052631578947","1.4148414261984779","365.26","96.43","257.87","36.78"
"CAVIN2","ENSG00000168497","1.46","0.36741052631578947","2.271186440677966","3.02","2.17","0.77","0.41"
"DNASE1L1","ENSG00000013563","1.46","0.36741052631578947","1.5010309278350518","13.56","4.42","8.7","1.06"
"EMP3","ENSG00000142227","1.46","0.3790999451453648","2.3969072164948453","40.85","21.84","16.46","12.93"
